column_name,human_readable,data_file,data_file_desc,component,sas_label,description,target,var_type,valid_range_min,valid_range_max,sentinel_values,value_labels,hard_edit_notes,parse_notes
DMDBORN4,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Country of birth,Country of birth,"Both males and females 0 YEARS -
			150 YEARS",binary,1.0,2.0,"{""77"": ""Refused"", ""99"": ""Don't know""}","{""1"": ""Born in 50 US states or Washington,"", ""2"": ""Others""}",,
DMDEDUC2,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Education level - Adults 20+,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,"Both males and females 20 YEARS -
			150 YEARS",ordinal,1.0,5.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Less than 9th grade"", ""2"": ""9-11th grade (Includes 12th grade with no diploma)"", ""3"": ""High school graduate/GED or equivalent"", ""4"": ""Some college or AA degree"", ""5"": ""College graduate or above""}","HAND CARD DMQ1
READ HAND CARD CATEGORIES IF NECESSARY
ENTER HIGHEST LEVEL OF SCHOOL",
DMDHHSIZ,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Total number of people in the Household,Total number of people in the Household,"Both males and females 0 YEARS -
			150 YEARS",continuous,1.0,7.0,"{""7"": ""7 or more people in the Household""}",{},,"Code 7 (7 or more people) is a top-coded disclosure cap, moved to sentinel_values: true household size unknown for these rows, treat as NaN if exact count required."
DMDHRAGZ,,DEMO_L,Demographic Variables and Sample Weights,Demographics,HH ref personâs age in years,HH ref personâs age in years,"Both males and females 0 YEARS -
			19 YEARS",ordinal,1.0,4.0,{},"{""1"": ""<20 years"", ""2"": ""20-39 years"", ""3"": ""40-59 years"", ""4"": ""60+ years""}",,
DMDHREDZ,,DEMO_L,Demographic Variables and Sample Weights,Demographics,HH ref personâs education level,HH ref personâs education level,"Both males and females 0 YEARS -
			19 YEARS",ordinal,1.0,3.0,{},"{""1"": ""Less than high school degree"", ""2"": ""High school grad/GED or some college/AA degree"", ""3"": ""College graduate or above""}",,
DMDHRGND,,DEMO_L,Demographic Variables and Sample Weights,Demographics,HH ref personâs gender,HH ref personâs gender,"Both males and females 0 YEARS -
			19 YEARS",binary,1.0,2.0,{},"{""1"": ""Male"", ""2"": ""Female""}",,
DMDHRMAZ,,DEMO_L,Demographic Variables and Sample Weights,Demographics,HH ref personâs marital status,HH ref personâs marital status,"Both males and females 0 YEARS -
			19 YEARS",ordinal,1.0,3.0,{},"{""1"": ""Married/Living with partner"", ""2"": ""Widowed/Divorced/Separated"", ""3"": ""Never Married""}",,
DMDHSEDZ,,DEMO_L,Demographic Variables and Sample Weights,Demographics,HH ref personâs spouseâs education level,HH ref personâs spouseâs education level,"Both males and females 0 YEARS -
			19 YEARS",ordinal,1.0,3.0,{},"{""1"": ""Less than high school degree"", ""2"": ""High school grad/GED or some college/AA degree"", ""3"": ""College graduate or above""}",,
DMDMARTZ,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Marital status,Marital status,"Both males and females 20 YEARS -
			150 YEARS",ordinal,1.0,3.0,"{""77"": ""Refused"", ""99"": ""Don't know""}","{""1"": ""Married/Living with partner"", ""2"": ""Widowed/Divorced/Separated"", ""3"": ""Never married""}",,
DMDYRUSR,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Length of time in US,Length of time the participant has been in the US.,"Both males and females 0 YEARS -
			150 YEARS",ordinal,1.0,6.0,"{""77"": ""Refused"", ""99"": ""Don't know""}","{""1"": ""Less than 1 year"", ""2"": ""1 to 4 years"", ""3"": ""5 to 9 years"", ""4"": ""10 to 14 years"", ""5"": ""15 to 19 years"", ""6"": ""20 years or more""}",,
DMQMILIZ,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Served active duty in US Armed Forces,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)","Both males and females 17 YEARS -
			150 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
INDFMPIR,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Ratio of family income to poverty,Ratio of family income to poverty,"Both males and females 0 YEARS -
			150 YEARS",continuous,0.0,5.0,{},"{""5"": ""Value greater than or equal to 5.00""}",,
RIAGENDR,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Gender,Gender of the participant.,"Both males and females 0 YEARS -
			150 YEARS",binary,1.0,2.0,{},"{""1"": ""Male"", ""2"": ""Female""}",,
RIDAGEMN,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Age in months at screening - 0 to 24 mos,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).,"Both males and females 0 YEARS -
			2 YEARS",continuous,0.0,24.0,{},{},,
RIDAGEYR,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Age in years at screening,Age in years of the participant at the time of screening. Individuals 80 and over are top-coded at 80 years of age.,"Both males and females 0 YEARS -
			150 YEARS",continuous,0.0,80.0,{},"{""80"": ""80 years of age and over""}",,
RIDEXAGM,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Age in months at exam - 0 to 19 years,Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination.,"Both males and females 0 YEARS -
			19 YEARS",continuous,0.0,239.0,{},{},,
RIDEXMON,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Six-month time period,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.","Both males and females 0 YEARS -
			150 YEARS",binary,1.0,2.0,{},"{""1"": ""November 1 through April 30"", ""2"": ""May 1 through October 31""}",,
RIDEXPRG,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Pregnancy status at exam,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.,"Females only 20 YEARS -
			44 YEARS",ordinal,1.0,3.0,"{""3"": ""Cannot ascertain if the participant is pregnant at exam""}","{""1"": ""Yes, positive lab pregnancy test or self-reported pregnant at exam"", ""2"": ""The participant was not pregnant at exam""}",,"Code 3 (Cannot ascertain) moved to sentinel_values: non-result response, treat as NaN."
RIDRETH1,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Race/Hispanic origin,Recode of reported race and Hispanic origin information,"Both males and females 0 YEARS -
			150 YEARS",ordinal,1.0,5.0,{},"{""1"": ""Mexican American"", ""2"": ""Other Hispanic"", ""3"": ""Non-Hispanic White"", ""4"": ""Non-Hispanic Black"", ""5"": ""Other Race - Including Multi-Racial""}",,
RIDRETH3,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Race/Hispanic origin w/ NH Asian,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category","Both males and females 0 YEARS -
			150 YEARS",ordinal,1.0,7.0,{},"{""1"": ""Mexican American"", ""2"": ""Other Hispanic"", ""3"": ""Non-Hispanic White"", ""4"": ""Non-Hispanic Black"", ""6"": ""Non-Hispanic Asian"", ""7"": ""Other Race - Including Multi-Racial""}",,
RIDSTATR,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Interview/Examination status,Interview and examination status of the participant.,"Both males and females 0 YEARS -
			150 YEARS",binary,1.0,2.0,{},"{""1"": ""Interviewed only"", ""2"": ""Both interviewed and MEC examined""}",,
SDDSRVYR,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Data release cycle,Data release cycle,"Both males and females 0 YEARS -
			150 YEARS",identifier,,,{},"{""12"": ""NHANES August 2021-August 2023 public release""}",,Reclassified to identifier: survey design/admin variable not suitable for analysis.
SDMVPSU,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Masked variance pseudo-PSU,Masked variance unit pseudo-PSU variable for variance estimation,"Both males and females 0 YEARS -
			150 YEARS",identifier,1.0,2.0,{},{},,Reclassified to identifier: survey design/admin variable not suitable for analysis.
SDMVSTRA,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Masked variance pseudo-stratum,Masked variance unit pseudo-stratum variable for variance estimation,"Both males and females 0 YEARS -
			150 YEARS",identifier,173.0,187.0,{},{},,Reclassified to identifier: survey design/admin variable not suitable for analysis.
SEQN,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Respondent sequence number,Respondent sequence number.,"Both males and females 0 YEARS -
			150 YEARS",identifier,,,{},{},,No value table found
WTINT2YR,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Full sample 2-year interview weight,Full sample 2 year interview weight.,"Both males and females 0 YEARS -
			150 YEARS",continuous,4584.463196,170968.343177,{},{},,
WTMEC2YR,,DEMO_L,Demographic Variables and Sample Weights,Demographics,Full sample 2-year MEC exam weight,Full sample 2 year MEC exam weight.,"Both males and females 0 YEARS -
			150 YEARS",continuous,0.0,227108.296958,"{""0"": ""Not MEC Examined""}",{},,"Code 0 (Not MEC Examined) moved to sentinel_values: not a true survey weight, treat as NaN for any weighted analysis."
BAARFC11,"MRT cond. 1, trial 1, reason stopped",BAX_L,Balance,Examination,"MRT cond. 1, trial 1, reason stopped","MRT cond. 1, trial 1, reason stopped","Both males and females 20 YEARS -
			69 YEARS",ordinal,1.0,5.0,{},"{""1"": ""Feet moved"", ""2"": ""Arms moved off waist"", ""3"": ""Eyes opened"", ""4"": ""Tech intervention"", ""5"": ""Grab/touch wall""}",,
BAARFC12,"MRT cond. 1, trial 2, reason stopped",BAX_L,Balance,Examination,"MRT cond. 1, trial 2, reason stopped","MRT cond. 1, trial 2, reason stopped","Both males and females 20 YEARS -
			69 YEARS",ordinal,1.0,5.0,{},"{""1"": ""Feet moved"", ""2"": ""Arms moved off waist"", ""3"": ""Eyes opened"", ""4"": ""Tech intervention"", ""5"": ""Grab/touch wall""}",,
BAARFC21,"MRT cond. 2, trial 1, reason stopped",BAX_L,Balance,Examination,"MRT cond. 2, trial 1, reason stopped","MRT cond. 2, trial 1, reason stopped","Both males and females 20 YEARS -
			69 YEARS",ordinal,1.0,5.0,{},"{""1"": ""Feet moved"", ""2"": ""Arms moved off waist"", ""3"": ""Eyes opened"", ""4"": ""Tech intervention"", ""5"": ""Grab/touch wall""}",,
BAARFC22,"MRT cond. 2, trial 2, reason stopped",BAX_L,Balance,Examination,"MRT cond. 2, trial 2, reason stopped","MRT cond. 2, trial 2, reason stopped","Both males and females 20 YEARS -
			69 YEARS",ordinal,1.0,5.0,{},"{""1"": ""Feet moved"", ""2"": ""Arms moved off waist"", ""3"": ""Eyes opened"", ""4"": ""Tech intervention"", ""5"": ""Grab/touch wall""}",,
BAARFC31,"MRT cond. 3, trial 1, reason stopped",BAX_L,Balance,Examination,"MRT cond. 3, trial 1, reason stopped","MRT cond. 3, trial 1, reason stopped","Both males and females 20 YEARS -
			69 YEARS",ordinal,1.0,5.0,{},"{""1"": ""Feet moved"", ""2"": ""Arms moved off waist"", ""3"": ""Eyes opened"", ""4"": ""Tech intervention"", ""5"": ""Grab/touch wall""}",,
BAARFC32,"MRT cond. 3, trial 2, reason stopped",BAX_L,Balance,Examination,"MRT cond. 3, trial 2, reason stopped","MRT cond. 3, trial 2, reason stopped","Both males and females 20 YEARS -
			69 YEARS",ordinal,1.0,5.0,{},"{""1"": ""Feet moved"", ""2"": ""Arms moved off waist"", ""3"": ""Eyes opened"", ""4"": ""Tech intervention"", ""5"": ""Grab/touch wall""}",,
BAARFC41,"MRT cond. 4, trial 1, reason stopped",BAX_L,Balance,Examination,"MRT cond. 4, trial 1, reason stopped","MRT cond. 4, trial 1, reason stopped","Both males and females 20 YEARS -
			69 YEARS",ordinal,1.0,5.0,{},"{""1"": ""Feet moved"", ""2"": ""Arms moved off waist"", ""3"": ""Eyes opened"", ""4"": ""Tech intervention"", ""5"": ""Grab/touch wall""}",,
BAARFC42,"MRT cond. 4, trial 2, reason stopped",BAX_L,Balance,Examination,"MRT cond. 4, trial 2, reason stopped","MRT cond. 4, trial 2, reason stopped","Both males and females 20 YEARS -
			69 YEARS",ordinal,1.0,5.0,{},"{""1"": ""Feet moved"", ""2"": ""Arms moved off waist"", ""3"": ""Eyes opened"", ""4"": ""Tech intervention"", ""5"": ""Grab/touch wall""}",,
BAARFC51,"MRT cond. 5, trial 1, reason stopped",BAX_L,Balance,Examination,"MRT cond. 5, trial 1, reason stopped","MRT cond. 5, trial 1, reason stopped","Both males and females 20 YEARS -
			69 YEARS",ordinal,1.0,5.0,{},"{""1"": ""Feet moved"", ""2"": ""Arms moved off waist"", ""3"": ""Eyes opened"", ""4"": ""Tech intervention"", ""5"": ""Grab/touch wall""}",,
BAARFC52,"MRT cond. 5, trial 2, reason stopped",BAX_L,Balance,Examination,"MRT cond. 5, trial 2, reason stopped","MRT cond. 5, trial 2, reason stopped","Both males and females 20 YEARS -
			69 YEARS",ordinal,1.0,5.0,{},"{""1"": ""Feet moved"", ""2"": ""Arms moved off waist"", ""3"": ""Eyes opened"", ""4"": ""Tech intervention"", ""5"": ""Grab/touch wall""}",,
BAQ110,Can stand on your own?,BAX_L,Balance,Examination,Can stand on your own?,Can stand on your own?,"Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
BAQ121,Are you currently wearing a leg brace?,BAX_L,Balance,Examination,Are you currently wearing a leg brace?,Are you currently wearing a leg brace?,"Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
BAQ125,"Injury to foot, leg, or hip",BAX_L,Balance,Examination,"Injury to foot, leg, or hip","Injury to foot, leg, or hip","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
BAQ132,"Problems with dizzy, past 24 hours",BAX_L,Balance,Examination,"Problems with dizzy, past 24 hours","Problems with dizzy, past 24 hours","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
BAQ140,"Last 12 months, fallen due to dizziness",BAX_L,Balance,Examination,"Last 12 months, fallen due to dizziness","Last 12 months, fallen due to dizziness","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
BAQ150,Do you have neck pain now?,BAX_L,Balance,Examination,Do you have neck pain now?,Do you have neck pain now?,"Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
BAQ160,Have you ever had surgery on your neck?,BAX_L,Balance,Examination,Have you ever had surgery on your neck?,Have you ever had surgery on your neck?,"Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
BAQ170,Neck problem lasted more than 6 weeks,BAX_L,Balance,Examination,Neck problem lasted more than 6 weeks,Neck problem lasted more than 6 weeks,"Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
BAQ173,Are you okay to begin this balance test?,BAX_L,Balance,Examination,Are you okay to begin this balance test?,Are you okay to begin this balance test?,"Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
BAQ201,Can you move head 30 degrees left/right?,BAX_L,Balance,Examination,Can you move head 30 degrees left/right?,Can you move head 30 degrees left/right?,"Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused"", ""9"": ""Don't know""}","{""1"": ""Yes"", ""2"": ""No""}",,
BAX5STAT,Eligibility for Condition 5,BAX_L,Balance,Examination,Eligibility for Condition 5,Eligibility for Condition 5,"Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,{},"{""1"": ""Eligible  for Condition 5"", ""2"": ""Ineligible for Condition 5""}",,
BAXMSTAT,MRT exam status,BAX_L,Balance,Examination,MRT exam status,MRT exam status,"Both males and females 20 YEARS -
			69 YEARS",categorical,1.0,4.0,"{""2"": ""Partial"", ""3"": ""Not done""}","{""1"": ""Complete"", ""4"": ""Ineligible for all MRT conditions""}",,Reclassified from ordinal to categorical: exam status/reason codes have no meaningful numeric order. Non-data code(s) [2=Partial; 3=Not done] moved to sentinel_values.
BAXPF11,"MRT cond. 1, trial 1, eyes open",BAX_L,Balance,Examination,"MRT cond. 1, trial 1, eyes open","MRT cond. 1, trial 1, eyes open","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused""}","{""1"": ""Pass"", ""2"": ""DNP (did not pass)""}",,
BAXPF12,"MRT cond. 1, trial 2, eyes open",BAX_L,Balance,Examination,"MRT cond. 1, trial 2, eyes open","MRT cond. 1, trial 2, eyes open","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused""}","{""1"": ""Pass"", ""2"": ""DNP (did not pass)""}",,
BAXPF21,"MRT cond. 2, trial 1, eyes closed",BAX_L,Balance,Examination,"MRT cond. 2, trial 1, eyes closed","MRT cond. 2, trial 1, eyes closed","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused""}","{""1"": ""Pass"", ""2"": ""DNP (did not pass)""}",,
BAXPF22,"MRT cond. 2, trial 2,  eyes closed",BAX_L,Balance,Examination,"MRT cond. 2, trial 2, eyes closed","MRT cond. 2, trial 2,  eyes closed","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused""}","{""1"": ""Pass"", ""2"": ""DNP (did not pass)""}",,
BAXPF31,"MRT cond. 3, trial 1,  eyes open",BAX_L,Balance,Examination,"MRT cond. 3, trial 1, eyes open","MRT cond. 3, trial 1,  eyes open","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused""}","{""1"": ""Pass"", ""2"": ""DNP (did not pass)""}",,
BAXPF32,"MRT cond. 3, trial 2, eyes open",BAX_L,Balance,Examination,"MRT cond. 3, trial 2, eyes open","MRT cond. 3, trial 2, eyes open","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused""}","{""1"": ""Pass"", ""2"": ""DNP (did not pass)""}",,
BAXPF41,"MRT cond. 4, trial 1, eyes closed",BAX_L,Balance,Examination,"MRT cond. 4, trial 1, eyes closed","MRT cond. 4, trial 1, eyes closed","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused""}","{""1"": ""Pass"", ""2"": ""DNP (did not pass)""}",,
BAXPF42,"MRT cond. 4, trial 2,  eyes closed",BAX_L,Balance,Examination,"MRT cond. 4, trial 2, eyes closed","MRT cond. 4, trial 2,  eyes closed","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused""}","{""1"": ""Pass"", ""2"": ""DNP (did not pass)""}",,
BAXPF51,"MRT cond. 5, trial 1, eyes closed",BAX_L,Balance,Examination,"MRT cond. 5, trial 1, eyes closed","MRT cond. 5, trial 1, eyes closed","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused""}","{""1"": ""Pass"", ""2"": ""DNP (did not pass)""}",,
BAXPF52,"MRT cond. 5, trial 2, eyes closed",BAX_L,Balance,Examination,"MRT cond. 5, trial 2, eyes closed","MRT cond. 5, trial 2, eyes closed","Both males and females 20 YEARS -
			69 YEARS",binary,1.0,2.0,"{""7"": ""Refused""}","{""1"": ""Pass"", ""2"": ""DNP (did not pass)""}",,
BAXRXNC,Reason for partial MRT exam,BAX_L,Balance,Examination,Reason for partial MRT exam,Reason for partial MRT exam,"Both males and females 20 YEARS -
			69 YEARS",categorical,1.0,5.0,"{""5"": ""Other""}","{""1"": ""SP refusal"", ""2"": ""Limited time"", ""3"": ""Physical limitation or SP ill/emergency"", ""4"": ""Equipment failure or error (technician/software/supply)""}",,Reclassified from ordinal to categorical: exam status/reason codes have no meaningful numeric order. Non-data code(s) [5=Other] moved to sentinel_values.
BAXRXND,Reason for not done MRT exam,BAX_L,Balance,Examination,Reason for not done MRT exam,Reason for not done MRT exam,"Both males and females 20 YEARS -
			69 YEARS",categorical,1.0,5.0,"{""5"": ""Other""}","{""1"": ""SP refusal"", ""2"": ""Limited time"", ""3"": ""Physical limitation or SP ill/emergency"", ""4"": ""Equipment failure or error (technician/software/supply)""}",,Reclassified from ordinal to categorical: exam status/reason codes have no meaningful numeric order. Non-data code(s) [5=Other] moved to sentinel_values.
BAXTC11,"MRT cond. 1, trial 1, time",BAX_L,Balance,Examination,"MRT cond. 1, trial 1, time","MRT cond. 1, trial 1, time","Both males and females 20 YEARS -
			69 YEARS",continuous,0.0,15.0,{},{},,
BAXTC12,"MRT cond. 1, trial 2, time",BAX_L,Balance,Examination,"MRT cond. 1, trial 2, time","MRT cond. 1, trial 2, time","Both males and females 20 YEARS -
			69 YEARS",continuous,2.0,15.0,{},{},,
BAXTC21,"MRT cond. 2, trial 1, time",BAX_L,Balance,Examination,"MRT cond. 2, trial 1, time","MRT cond. 2, trial 1, time","Both males and females 20 YEARS -
			69 YEARS",continuous,0.0,15.0,{},{},,
BAXTC22,"MRT cond. 2, trial 2, time",BAX_L,Balance,Examination,"MRT cond. 2, trial 2, time","MRT cond. 2, trial 2, time","Both males and females 20 YEARS -
			69 YEARS",continuous,0.0,15.0,{},{},,
BAXTC31,"MRT cond. 3, trial 1, time",BAX_L,Balance,Examination,"MRT cond. 3, trial 1, time","MRT cond. 3, trial 1, time","Both males and females 20 YEARS -
			69 YEARS",continuous,1.0,30.0,{},{},,
BAXTC32,"MRT cond. 3, trial 2, time",BAX_L,Balance,Examination,"MRT cond. 3, trial 2, time","MRT cond. 3, trial 2, time","Both males and females 20 YEARS -
			69 YEARS",continuous,1.0,30.0,{},{},,
BAXTC41,"MRT cond. 4, trial 1, time",BAX_L,Balance,Examination,"MRT cond. 4, trial 1, time","MRT cond. 4, trial 1, time","Both males and females 20 YEARS -
			69 YEARS",continuous,0.0,30.0,{},{},,
BAXTC42,"MRT cond. 4, trial 2, time",BAX_L,Balance,Examination,"MRT cond. 4, trial 2, time","MRT cond. 4, trial 2, time","Both males and females 20 YEARS -
			69 YEARS",continuous,0.0,30.0,{},{},,
BAXTC51,"MRT cond. 5, trial 1, time",BAX_L,Balance,Examination,"MRT cond. 5, trial 1, time","MRT cond. 5, trial 1, time","Both males and females 20 YEARS -
			69 YEARS",continuous,0.0,30.0,{},{},,
BAXTC52,"MRT cond. 5, trial 2, time",BAX_L,Balance,Examination,"MRT cond. 5, trial 2, time","MRT cond. 5, trial 2, time","Both males and females 20 YEARS -
			69 YEARS",continuous,0.0,30.0,{},{},,
BMDBMIC,BMI Category - Children/Youth,BMX_L,Body Measures,Examination,BMI Category - Children/Youth,BMI Category - Children/Youth,"Both males and females 2 YEARS -
			19 YEARS",ordinal,1.0,4.0,{},"{""1"": ""Underweight"", ""2"": ""Normal weight"", ""3"": ""Overweight"", ""4"": ""Obese""}",,
BMDSTATS,Body Measures Component status Code,BMX_L,Body Measures,Examination,Body Measures Component Status Code,Body Measures Component status Code,"Both males and females 0 YEARS -
			150 YEARS",categorical,1.0,4.0,"{""2"": ""Partial:  Only height and weight obtained"", ""3"": ""Other partial exam""}","{""1"": ""Complete data for age group"", ""4"": ""No body measures exam data""}",,Reclassified from ordinal to categorical: exam status/reason codes have no meaningful numeric order. Non-data code(s) [2=Partial:  Only height and weight obtained; 3=Other partial exam] moved to sentinel_values.
BMIARMC,Arm Circumference Comment,BMX_L,Body Measures,Examination,Arm Circumference Comment,Arm Circumference Comment,"Both males and females 2 MONTHS -
			150 YEARS",categorical,,,"{""1"": ""Could not obtain""}",{},,"Reclassified from binary to categorical: all codes are measurement status flags, not true binary values. All codes [1=Could not obtain] moved to sentinel_values."
BMIARML,Upper Arm Length Comment,BMX_L,Body Measures,Examination,Upper Arm Length Comment,Upper Arm Length Comment,"Both males and females 2 MONTHS -
			150 YEARS",categorical,,,"{""1"": ""Could not obtain""}",{},,"Reclassified from binary to categorical: all codes are measurement status flags, not true binary values. All codes [1=Could not obtain] moved to sentinel_values."
BMIHEAD,Head Circumference Comment,BMX_L,Body Measures,Examination,Head Circumference Comment,Head Circumference Comment,"Both males and females 0 MONTHS -
			6 MONTHS",categorical,,,"{""1"": ""Could not obtain""}",{},,"Reclassified from binary to categorical: all codes are measurement status flags, not true binary values. All codes [1=Could not obtain] moved to sentinel_values."
BMIHIP,Hip Circumference Comment,BMX_L,Body Measures,Examination,Hip Circumference Comment,Hip Circumference Comment,"Both males and females 12 YEARS -
			150 YEARS",categorical,,,"{""1"": ""Could not obtain""}",{},,"Reclassified from binary to categorical: all codes are measurement status flags, not true binary values. All codes [1=Could not obtain] moved to sentinel_values."
BMIHT,Standing Height Comment,BMX_L,Body Measures,Examination,Standing Height Comment,Standing Height Comment,"Both males and females 2 YEARS -
			150 YEARS",categorical,1.0,3.0,"{""1"": ""Could not obtain"", ""3"": ""Not straight""}",{},,"Reclassified from binary to categorical: all codes are measurement status flags, not true binary values. All codes [1=Could not obtain; 3=Not straight] moved to sentinel_values."
BMILEG,Upper Leg Length Comment,BMX_L,Body Measures,Examination,Upper Leg Length Comment,Upper Leg Length Comment,"Both males and females 8 YEARS -
			150 YEARS",categorical,,,"{""1"": ""Could not obtain""}",{},,"Reclassified from binary to categorical: all codes are measurement status flags, not true binary values. All codes [1=Could not obtain] moved to sentinel_values."
BMIRECUM,Recumbent Length Comment,BMX_L,Body Measures,Examination,Recumbent Length Comment,Recumbent Length Comment,"Both males and females 0 MONTHS -
			47 MONTHS",categorical,1.0,3.0,"{""1"": ""Could not obtain"", ""3"": ""Not straight""}",{},,"Reclassified from binary to categorical: all codes are measurement status flags, not true binary values. All codes [1=Could not obtain; 3=Not straight] moved to sentinel_values."
BMIWAIST,Waist Circumference Comment,BMX_L,Body Measures,Examination,Waist Circumference Comment,Waist Circumference Comment,"Both males and females 2 YEARS -
			150 YEARS",categorical,,,"{""1"": ""Could not obtain""}",{},,"Reclassified from binary to categorical: all codes are measurement status flags, not true binary values. All codes [1=Could not obtain] moved to sentinel_values."
BMIWT,Weight Comment,BMX_L,Body Measures,Examination,Weight Comment,Weight Comment,"Both males and females 0 YEARS -
			150 YEARS",ordinal,1.0,4.0,"{""1"": ""Could not obtain""}","{""3"": ""Clothing"", ""4"": ""Medical appliance""}",,"Non-data code(s) [1=Could not obtain] moved to sentinel_values: measurement status flag, treat as NaN."
BMXARMC,Arm Circumference (cm),BMX_L,Body Measures,Examination,Arm Circumference (cm),Arm Circumference (cm),"Both males and females 2 MONTHS -
			150 YEARS",continuous,12.0,63.3,{},{},,
BMXARML,Upper Arm Length (cm),BMX_L,Body Measures,Examination,Upper Arm Length (cm),Upper Arm Length (cm),"Both males and females 2 MONTHS -
			150 YEARS",continuous,10.0,49.2,{},{},,
BMXBMI,Body Mass Index (kg/m**2),BMX_L,Body Measures,Examination,Body Mass Index (kg/m**2),Body Mass Index (kg/m**2),"Both males and females 2 YEARS -
			150 YEARS",continuous,11.1,74.8,{},{},,
BMXHEAD,Head Circumference (cm),BMX_L,Body Measures,Examination,Head Circumference (cm),Head Circumference (cm),"Both males and females 0 MONTHS -
			6 MONTHS",continuous,34.4,46.5,{},{},,
BMXHIP,Hip Circumference (cm),BMX_L,Body Measures,Examination,Hip Circumference (cm),Hip Circumference (cm),"Both males and females 12 YEARS -
			150 YEARS",continuous,69.9,187.1,{},{},,
